"Country","Name","State","Name (Native Language)","Level"
"Netherlands","Dutch National Environment Vision Implementation Programme (2021-2024)","Published","Uitvoeringsagenda Nationale Omgevingsvisie (2021-2024)","National"
"Netherlands","National Climate Adaptation Implementation Programme (NUP KA) (2023)","Published","Nationaal Uitvoeringsprogramma Klimaatadaptatie (NUP KA) (2023)","National"
"Netherlands","National Delta Programme 2025","Published","Nationaal Deltaprogramma 2025","National"
"Belgium","Belgium's Long-Term Strategy","Published","Stratégie à long terme de la Belgique","National"
"Netherlands","National Recovery and Resilience Plan (HVP) (2022-2026)","Published","Herstel en Veerkrachtplan (HVP) (2022-2026)","National"
"Belgium","River Basin Management Plan Scheldt and Meuse 2022-2027 (non-technical summary)","Published","Stroomgebiedbeheerplannen voor Schelde en Maas 2022-2027 (non-technical summary)","Regional"
"Germany","Integrated National Energy and Climate Plan (2024 Update)","Published","Aktualisierung des integrierten nationalen Energie- und Klimaplans","National"
"Germany","Future Research and Innovation Strategy","Published","Zukunftsstrategie Forschung und Innovation","National"
"Germany","German Sustainable Development Strategy (update 2021)","Published","Deutsche Nachhaltigkeitsstrategie (Weiterentwicklung 2021)","National"
"Germany","German Strategy for Adaptation to Climate Change","Published","Deutsche Anpassungsstrategie an den Klimawandel","National"
"Germany","2035 Arable Farming Strategy","Published","Ackerbaustrategie 2035","National"
"Germany","CAP-Strategic Plan for the Federal Republic of Germany","Published","GAP - Nationaler Strategieplan","National"
"Germany","National Water Strategy","Published","Nationale Wasserstrategie","National"
"Germany","National Strategy on Biological Diversity 2030 (NBS 2030)","Published","Nationale Strategie zur Biologischen Vielfalt 2030 (NBS 2030)","National"
"Germany","Climate Action Programme 2030 for the implementation of the Climate Action Plan 2050","Published","Klimaschutzprogramm 2030 der Bundesregierung zur Umsetzung des Klimaschutzplans 2050","National"
"Germany","National Peatland Protection strategy","Published","Nationale Moorschutzstrategie","National"
"Germany","Climate Action Plan 2050: Principles and goals of the German government's climate policy","Published","Klimaschutzplan 2050: Klimaschutzpolitische Grundsätze und Ziele der Bundesregierung","National"
"Poland","(no peat) The Municipal Revitalization Program of the City of Nowy Targ for 2017-2023","Cancelled","Gminny Program Rewitalizacji Miasta Nowy Targ na lata 2017-2030","Local"
"Netherlands","Water and Soil as Guiding Principles","Published","Water en bodem sturend ","National"
"Netherlands","Peat Plan first phase ","Published","Veenplan 1e fase ","National"
"Netherlands","Regulation no. WJZ/20254079 of the Minister of Agriculture, Nature and Food Quality (Peat Plan 1st phase)","Published","Regeling nr. WJZ/20254079 van de Minister van Landbouw, Natuur en Voedselkwaliteit (Veenplan 1e fase)","National"
"Netherlands","Formal designation Natura 2000 site no. 54 Witte Veen","Published","Aanwijzingsbesluit Natura 2000 gebied nr. 54 Witte Veen","National"
"Netherlands","Amendment decision Habitat Directive areas due to existing values (2022)","Cancelled","Wijzigingsbesluit Habitatrichtlijngebieden vanwege aanwezige waarden (2022)","National"
"Netherlands","Formal Map of Natura 2000 site nr 54 Witte Veen ","Cancelled","Kaart Natura 2000 gebied 54, Witteveen","National"
"Netherlands","Formal designation Natura 2000 site no. 35 de Wieden","Published","Aanwijzingsbesluit Natura 2000 gebied nr. 35 de Wieden","National"
"Netherlands","Formal map of Natura 2000site nr 35 Wieden","Cancelled","Kaart Natura 2000gebied 35 Wieden","National"
"Netherlands","Natura 2000 Management Plan for Witte Veen","Published","Natura 2000 Beheerplan Witte Veen ","Regional"
"Netherlands","Natura 2000 Management Plan for The Wieden","Published","Natura 2000 Beheerplan: De Wieden en Weerribben","Regional"
"Netherlands","Nature Management Plan of the Province of Overijssel 2024","Published","Natuurbeheerplan Provincie Overijssel 2024","Regional"
"Netherlands","Foundation for the New Environmental Vision (2022)","Published","Fundament voor de nieuwe Omgevingsvisie (2022)","Regional"
"Netherlands","Environmental regulation Provincie Overijssel","Published","Omgevingsverordening Overijssel","Regional"
"Netherlands","Witte Veen Development Plan - development areas (in the context of Natura 2000)","Published","Inrichtingsplan Witte Veen - uitwerkingsgebieden extern (in het kader van Natura 2000)","Local"
"Netherlands","Provincial Development Plan (PIP) of the Wieden 2","Published","Provinciaal Inpassingsplan (PIP) de Wieden 2","Regional"
"Netherlands","Administrative Agreement Water Distribution in the IJsselmeer Region","Cancelled","Bestuursovereenkomst Waterverdeling regio IJsselmeergebied","National"
"Netherlands","Zoning Plan for the Haaksbergen Countryside (2015)","Published","Bestemmingsplan Buitengebied Haaksbergen (2015)","Regional"
"Belgium","Towards a Climate Change Resilient Society by 2050: Federal Adaptation Measures 2023-2026","Cancelled","Vers une société résiliente au changement climatiqueà l’horizon 2050: Mesures fédérales d’adaptation 2023-2026","National"
"Belgium","Biodiversity 2020: Update of Belgium’s National Strategy","Cancelled","Biodiversité 2020: Actualisation de la Stratégie Nationale de la Belgique","National"
"Belgium","360 Biodiversity Strategy","Published","Stratégie Biodiversité 360","Regional"
"Belgium","CAP Strategic Plan - Wallonia","Published","Plan Stratégique de la PAC - Wallonie","Regional"
"Belgium","Third Management Plan for Walloon River Basin Districts (2022)","Published","Les troisièmes Plans de gestion des Districts Hydrographiques Wallons (2022)","Regional"
"Latvia","Latvia's Climate Change Adaptation Plan for the period up to 2030","Published","Latvijas pielāgošanās klimata pārmaiņām plānu laika posmam līdz 2030. gadam","National"
"Latvia","Latvia's Strategy for Achieving Climate Neutrality by 2050","Published","Latvijas stratēģija klimatneitralitātes sasniegšanai līdz 2050","National"
"Latvia","Latvija2030: Latvia's sustainable development strategy until 2030","Published","Latvija2030: Latvijas ilgtspējīgas attīstības stratēģija","National"
"Latvia","(no peat) National Development Plan of Latvia (NAP 2027)","Published","Latvijas Nacionālo attīstības plānu 2021.-2027. gadam (NAP2027)","National"
"Latvia","Latvia's Common Agricultural Policy Strategic Plan for 2023-2027","Published","Kopējās lauksaimniecības politikas stratēģiskais plāns","National"
"Latvia","Latvian Principles of Environmental Policy (VPP 2021-2027)","Published","Vides politikas pamatnostādnes (VPP 2021-2027)","National"
"Latvia","Guidelines for Sustainable Use of Peat","Published","Kūdras Ilgtspējīgas Izmantošanas Pamatnostādnes","National"
"Estonia","EE - CAP Strategic Plan (CSP) 2023– 2027","Published","Ühise põllumajanduspoliitika strateegiakava (ÜPP) 2023–2027","National"
"Finland","Medium-term Climate Change Policy Plan: Towards a carbon-neutral society in 2035","Published","Keskipitkän aikavälin ilmastopolitiikan suunnitelma Kohti: hiilineutraalia yhteiskuntaa 2035","National"
"Finland","CAP plan for the period 2023-2027","Published","CAP-suunnitelma kaudelle 2023-2027","National"
"Finland","Land Use Sector Climate Plan","Published","Maankäyttösektorin Ilmastosuunnitelman","National"
"Finland","National Climate Change Adaptation Plan 2030","Published","Kansallinen ilmastonmuutokseen sopeutumissuunnitelma 2030","National"
"Finland","Finnish Bioeconomy Strategy","Published","Suomen biotalousstrategia","National"
"Finland","National Forest Strategy 2035","Published","Kansallinen metsästrategia 2035","National"
"Finland","National action plan for the conservation and sustainable use of biodiversity in Finland 2012–2020","Published","Suomen luonnon monimuotoisuuden suojelun ja kestävän käytön toiminta­ohjelma 2012–2020","National"
"Lithuania","Lithuanian Agriculture and Rural Development 2023-2027 Strategic Plan","Published","Lietuvos žemės ūkio ir kaimo plėtros 2023–2027 m. strateginis planas","National"
"Lithuania","National Climate Change Management Agenda","Published","Nacionalinė klimato kaitos valdymo darbotvarkė","National"
"Lithuania","National Energy and Climate Action Plan 2012-2030","Published","Nacionalinis energetikos ir klimato srities veiksmų planas 2021–2030 m. projektas","National"
"Lithuania","(no peat) Lithuania Progress Strategy 2030","Cancelled","Lietuvos pažangos strategija 2030 m","National"
"Lithuania","Lithuanian National Strategy for Sustainable Development","Published","Nacionalinė darnaus vystymosi strategija","National"
"Lithuania","National Environmental Protection Strategy","Published","Nacionalinė aplinkos apsaugos strategija","National"
"Romania","Integrated National Energy and Climate Plan","Cancelled","Integruotas nacionalinis energetikos ir klimato planas","National"
"Romania","CAP Plan 2023–2027 for Romania","Published","Planul PAC 2023–2027 pentru România","National"
"Germany","(no peat?) Brandenburg Water Act (BbgWG)","Cancelled","Brandenburgisches Wassergesetz (BbgWG)","Regional"
"Germany","Niedersächsisches Wassergesetz (NWG) ","Cancelled","31","Regional"
"Germany","Landeswassergesetz Schleswig Holstein","Cancelled","","Regional"
"Germany","Wassergesetz des Landes Mecklenburg-Vorpommern (LWaG)","Cancelled","31","Regional"
"Germany","Fachstrategie zur Umsetzung der nutzungsbezogenen Vorschläge des Moorschutzkonzeptes ","Cancelled","31","Regional"
"United Kingdom","FOD Powering Up Britain – The Net Zero Growth Plan","Cancelled","Powering Up Britain – The Net Zero Growth Plan","National"
"United Kingdom","Powering Up Britain – The Net Zero Growth Plan","Published","Powering Up Britain – The Net Zero Growth Plan","National"
"United Kingdom","FOD Environmental Improvement Plan 2024","Cancelled","Environmental Improvement Plan 2023","National"
"United Kingdom","Environmental Improvement Plan 2023 for England","Published","Environmental Improvement Plan 2023 for England","Regional"
"United Kingdom","FOD Mobilising Green Investment","Cancelled","Mobilising Green Investment","National"
"United Kingdom","Mobilising Green Investment","Published","Mobilising Green Investment","National"
"Belgium","Flemish Energy and Climate Plan","Published","Vlaams Energie en Klimaatplan","Regional"
"Belgium","YW Flemish Energy and Climate Plan","Cancelled","Vlaams Energie- en Klimaatplan","Regional"
"Latvia","Latvia's Updated National Energy and Climate Plan 2021–2030","Published","Aktualizētais Nacionālais enerģētikas un klimata plāns 2021.–2030. gadam","National"
"Poland","Strategy for the Protection of Wetlands in Poland (2006-2013)","Published","Strategia ochrony obszarów wodno-błotnych (2006-2013)","National"
"","Ramsar Convention: The 4th Strategic Plan 2016 – 2024","Published","Ramsar Convention: The 4th Strategic Plan 2016 – 2024","Global"
"Poland","(unofficial release) Draft strategy for the protection of wetlands in poland for the years 2022-2032","Cancelled","Projekt strategii ochrony mokradeł w polsce na lata 2022-2032","National"
"Germany","Federal Climate Action Act (KSG)","Published","Bundes-Klimaschutzgesetz (KSG)","National"
"Germany","Federal Climate Adaptation Act (KAnG)","Published","Bundes-Klimaanpassungsgesetz (KAnG)","National"
"Germany","Federal Action Plan on Nature-based Solution for Climate and Biodiversity","Published","Aktionsprogramm Natürlicher Klimaschutz","National"
"","ddd","Cancelled","","Regional"
"Germany","The Peat Use Reduction Strategy of the Federal Ministry of Food and Agriculture: Going Peat-free, Protecting the Climate","Published","Die Torfminderungsstrategie des BMEL - Torffrei gärtnern, Klima schützen","National"
"Ireland","Leitrim's Local Economic and Community Plan (LECP) 2023-2029","Published","Plean Áitiúil Nua Eacnamaíochta agus Pobail Chontae Liatroma (LECP) 2023-2029","Local"
"Slovakia","National strategy for the protection of biodiversity 2011 - 2020","Published","Národná stratégia ochrany biodiverzity do roku 2011 - 2020","National"
"Slovakia","INECP - Integrated national climate and energy plan 2021-2030","Cancelled","INECP - Integrovaný národný energetický a klimatický plán na roky 2021-2030","National"
"Slovakia","Strategy for adaptation of the Slovak Republic to climate change 2018 - 2025","Published","Stratégia adaptácie Slovenskej Republiky na zmenu klímy 2018 - 2025","National"
"Slovakia","Greener Slovakia - Environmental policy strategy of the Slovak Republic 2019 - 2030","Published","Zelenšie Slovensko - Stratégia environmentálnej politiky Slovenskej Republiky do roku 2019 - 2030","National"
"Slovakia","Principles of care for habitats of European significance and habitats of species of European significance in sites of European Significance 2022","Published","Princípy starostlivosti o biotopy európskeho významu a o biotopy druhov európskeho významu v oblastiach európskeho významu 2022","National"
"Austria","Austria's Biodiversity Strategy 2030+","Published","Biodiversitäts-Strategie Österreich 2030+","National"
"Slovakia","Slovakian CAP Strategic Plan 2023-2027","Published","Strategický plán SPP 2023-2027","National"
"Slovakia","Prioritised action framework (PAF) for Natura 2000 in the Slovak Republic 2021 - 2027","Published","Prioritný akčný rámec (PAF) pre sústavu Natura 2000 v Slovenskej Republike 2021 - 2027","National"
"Slovakia","[no peat] National forestry program 2022-2030 - ""Forests for society""","Cancelled","Národný lesnícky program na roky 2022-2030 - ""Lesy pre spoločnosť""","National"
"Austria","Austrian Forest Strategy 2020+","Published","Österreichische Waldstrategie 2020+","National"
"Slovakia","Care Program for the Čergov Protected Bird Area for the years 2019–2048","Published","Program starostlivosti o Chránené vtáčie územie Čergov na roky 2019 – 2048","Local"
"Slovakia","Care program for the Chočské vrchy Protected Bird Area for the years 2019 – 2048","Published","Program starostlivosti o Chránené vtáčie územie Chočské vrchy na roky 2019 – 2048","Local"
"Slovakia","Care Program for the Medzibodrožie Protected Bird Area for 2022 – 2051","Published","Program starostlivosti o Chránené vtáčie územie Medzibodrožie na roky 2022 – 2051","Local"
"Slovakia","Care program for the Muránska planina National Park for 2024 – 2033","Published","Program starostlivosti o Národný park Muránska planina na roky 2024 – 2033","Local"
"Slovakia","Care program for the Ondavská rovina Protected Bird Area for the years 2018 - 2047","Published","Program starostlivosti o Chránené vtáčie územie Ondavská rovina na roky 2018 - 2047","Local"
"Slovakia","Care Program for the Poľana Protected Bird Area for the years 2019 – 2048","Published","Program starostlivosti o Chránené vtáčie územie Poľana na roky 2019 – 2048","Local"
"Slovakia","Care program for the Senianske rybníky Protected Bird Area for the years 2022 – 2051","Published","Program starostlivosti o Chránené vtáčie územie Senianske rybníky na roky 2022 – 2051","Local"
"Slovakia","Care Program for the Slovenský raj Protected Bird Area for the years 2019–2048","Published","Program starostlivosti o Chránené vtáčie územie Slovenský raj na roky 2019 – 2048","Local"
"Slovakia","Care Program for the Strážovské vrchy Protected Bird Area for the years 2019-2048","Published","Program starostlivosti o Chránené vtáčie územie Strážovské vrchy na roky 2019-2048","Local"
"Slovakia","Management program for the Volovské vrchy Protected Bird Area for the years 2023 – 2052","Published","Program starostlivosti o Chránené vtáčie územie Volovské vrchy na roky 2023 – 2052","Local"
"Slovakia","Management program for the Žitavský luh Protected Bird Area for the years 2020 – 2049","Published","Program starostlivosti o Chránené vtáčie územie Žitavský luh na roky 2020 – 2049","Local"
"Slovakia","Care Program for the Dolné Považie Protected Bird Area for the years 2018 - 2047","Published","Program starostlivosti  o Chránené vtáčie územie Dolné Považie  na roky 2018 - 2047","Local"
"Slovakia","Care Program  for the Dubnické štrkovisko Protected Bird Area  for the years 2018 - 2047","Published","Program starostlivosti  o Chránené vtáčie územie Dubnické štrkovisko  na roky 2018 - 2047","Local"
"Slovakia","Care Program  for the Horná Orava Protected Bird Area  for the years 2017 – 2046","Published","Program starostlivosti  o Chránené vtáčie územie Horná Orava  na roky 2017 – 2046","Local"
"Slovakia","Care Program for the Košice Basin Protected Bird Area for the years 2018 – 2047","Published","Program starostlivosti o Chránené vtáčie územie Košická kotlina na roky 2018 – 2047","Local"
"Slovakia","Care Program for the Kráľová Protected Bird Area for the years 2017 - 2046","Published","Program starostlivosti  o Chránené vtáčie územie Kráľová na roky  2017 - 2046","Local"
"Slovakia","Care program for the Parížske močiare Protected Bird Area for the years 2018-2047","Published","Program starostlivosti  o Chránené vtáčie územie Parížske močiare na roky 2018 – 2047","Local"
"Slovakia","Care Program for the Poiplie Protected Bird Area for 2018-2047","Published","Program starostlivosti  o Chránené vtáčie územie Poiplie na roky 2018- 2047","Local"
"Slovakia","(Case Study) Peatland restoration plan within the project Ecohydrological restoration of peatlands in the Carpathians 2022 - 2023","Cancelled","Plán obnovy rašeliniskových lokalít v rámci projektu Ekohydrologická obnova rašelinísk v Karpatoch 2022 - 2023","National"
"","Strategy and Action Plan for Mire and Peatland Conservation in Central Europe","Cancelled","","European"
"Spain","State strategic plan for natural heritage and biodiversity to 2030","Published","Plan estratégico estatal del patrimonio natural y de la biodiversidad a 2030","National"
"Spain","Law 42/2007, Of December 13, Of Natural Heritage And Biodiversity (BOE-A-2007-21490)","Published","Ley 42/2007, de 13 de diciembre, del Patrimonio Natural y de la Biodiversidad (BOE-A-2007-21490)","National"
"Spain","Strategic Plan for Wetlands to 2030","Published","Plan Estratégico de Humedales a 2030","National"
"Slovakia","[yw: include DAPHNE in country contact] Handbook for sustainable management of wetland forests 2024","Cancelled","Príručka pre trvalo udržateľné obhospodarovanie mokraďových lesov 2024","National"
